ngrams,tfidfXlength
needs to be able to,982.2857503
a specific problem or issue,806.6165627
scientific knowledge and understanding to,806.6165627
for criteria,748
information to make scientifically supported,734.9173126
to make scientifically supported judgments,734.9173126
solve problems set in familiar,699.0676876
to work to understand concepts,681.1428751
is able to outline,673.9729501
required for different assessment criteria,645.2932501
a scientific investigation,634.5383626
the implications of using science,609.4436251
