"","ngrams","tfidfXlength"
"1","and understanding to solve problems set in familiar",1089.82860021923
"2","apply scientific knowledge and understanding to solve problems",1089.82860021923
"3","knowledge and understanding to solve problems set in",1089.82860021923
"4","scientific knowledge and understanding to solve problems set",1089.82860021923
"5","needs to be able to",982.285750274039
"6","and understanding to solve problems set in",953.600025191828
"7","apply scientific knowledge and understanding to solve",953.600025191828
"8","knowledge and understanding to solve problems set",953.600025191828
"9","scientific knowledge and understanding to solve problems",953.600025191828
"10","understanding to solve problems set in familiar",953.600025191828
"11","apply scientific knowledge and understanding to",946.430100190385
"12","scientific knowledge apply scientific knowledge and understanding to",946.430100190385
"13","is willing to work to understand concepts",928.505287686779
"14","information to make scientifically supported judgments",881.900775177404
"15","in which science is applied and used to",860.391000173077
"16","knowledge apply scientific knowledge and understanding to solve",860.391000173077
"17","the ways in which science is applied and",860.391000173077
"18","ways in which science is applied and used",860.391000173077
"19","knowledge and understanding to solve problems",838.881225168751
"20","she needs to be able to",838.881225168751
"21","to solve problems set in familiar",838.881225168751
"22","which science is applied and used to address",831.711300167308
"23","knowledge apply scientific knowledge and understanding to",828.126337666587
"24","scientific knowledge apply scientific knowledge and understanding",828.126337666587
"25","and understanding to solve problems set",817.371450164424
"26","scientific knowledge and understanding to solve",817.371450164424
"27","understanding to solve problems set in",817.371450164424
"28","willing to work to understand concepts",817.371450164424
"29","a specific problem or issue",806.61656266226
"30","scientific knowledge and understanding to",806.61656266226
