Column1,ngrams,tfidfXlength,1,2,3,7,8,13,17,19,9,15
1,needs to be able to,982.2857503,,,,,,,,,,
2,a specific problem or issue,806.6165627,,,,,,,,,,
3,scientific knowledge and understanding to,806.6165627,,,,,,,,,,
4,scientific knowledge,803.0316002,,,x,,,,,,,
5,apply scientific knowledge and understanding,788.6917502,,,x,,,,,,,
6,needs to be able,785.8286002,x,,,,,,,,,
7,for criteria,748,,,,,,,,,,
8,information to make scientifically supported,734.9173126,,,,,,,,,,
9,to make scientifically supported judgments,734.9173126,,,,,,,,,,
10,and understanding to solve problems,699.0676876,,,x,,,,,,,
11,knowledge and understanding to solve,699.0676876,,,x,,,,,,,
12,she needs to be able,699.0676876,x,,,,,,,,,
13,solve problems set in familiar,699.0676876,,,,,,,,,,
14,to solve problems set in,699.0676876,,,,,,x,,,,
15,to be able to,696,x,,,,,,,,,
16,scientific knowledge and,688.3128001,,,x,,,,,,,
17,to work to understand concepts,681.1428751,,,,,,,,,,
18,understanding to solve problems set,681.1428751,,,,,,x,,,,
19,willing to work to understand,681.1428751,,,,,,,,x,,
20,is able to outline,673.9729501,,,,,,,,,,
21,is willing to work to,663.2180626,,,,,,,,x,,
22,a specific problem or,645.2932501,,x,,,,,,,,
23,apply scientific knowledge and,645.2932501,,,x,,,,,,,
24,problems set in familiar,645.2932501,,,,,,x,,,,
25,scientific knowledge and understanding,645.2932501,,,x,,,,,,,
26,specific problem or issue,645.2932501,,x,,,,,,,,
27,required for different assessment criteria,645.2932501,,,,,,,,,,
28,a scientific investigation,634.5383626,,,,,,,,,,
29,he needs to be able,627.3684376,x,,,,,,,,,
30,the implications of using science,609.4436251,,,,,,,,,,
